year,rank,song,artist,artist_original,artist_clean
1974,4,Come and Get Your Love,Redbone,Redbone,Redbone
1974,5,Dancing Machine,The Jackson 5,The Jackson 5,The Jackson 5
1974,6,The Loco-Motion,Grand Funk Railroad,Grand Funk Railroad,Gr
1974,7,TSOP (The Sound of Philadelphia),"MFSB,The Three Degrees","MFSB,The Three Degrees",MFSB
1974,8,The Streak,Ray Stevens,Ray Stevens,Ray Stevens
1974,9,Bennie and the Jets,Elton John,Elton John,Elton John
1974,10,One Hell of a Woman,Mac Davis,Mac Davis,Mac Davis
1974,11,Until You Come Back to Me (That's What I'm Gonna Do),Aretha Franklin,Aretha Franklin,Aretha Franklin
1974,12,Jungle Boogie,Kool & the Gang,Kool & the Gang,Kool
1974,13,Midnight at the Oasis,Maria Muldaur,Maria Muldaur,Maria Muldaur
1974,14,You Make Me Feel Brand New,The Stylistics,The Stylistics,The Stylistics
1974,15,Show and Tell,Al Wilson,Al Wilson,Al Wilson
1974,16,Spiders and Snakes,Jim Stafford,Jim Stafford,Jim Stafford
1974,17,Rock On,David Essex,David Essex,David Esse
1974,18,Sunshine on My Shoulders,John Denver,John Denver,John Denver
1974,19,Sideshow,Blue Magic,Blue Magic,Blue Magic
1974,20,Hooked on a Feeling,Blue Swede,Blue Swede,Blue Swede
1974,21,Billy Don't Be a Hero,Bo Donaldson and The Heywoods,Bo Donaldson and The Heywoods,Bo Donaldson
1974,22,Band on the Run,Paul McCartney and Wings,Paul McCartney and Wings,Paul McCartney
1974,23,The Most Beautiful Girl,Charlie Rich,Charlie Rich,Charlie Rich
1974,24,Time in a Bottle,Jim Croce,Jim Croce,Jim Croce
1974,25,Annie's Song,John Denver,John Denver,John Denver
1974,26,Let Me Be There,Olivia Newton-John,Olivia Newton-John,Olivia Newton-John
1974,27,Sundown,Gordon Lightfoot,Gordon Lightfoot,Gordon Lightfoot
1974,28,(You're) Having My Baby,Paul Anka,Paul Anka,Paul Anka
1974,29,Rock Me Gently,Andy Kim,Andy Kim,y Kim
1974,30,Boogie Down,Eddie Kendricks,Eddie Kendricks,Eddie Kendricks
1974,31,You're Sixteen,Ringo Starr,Ringo Starr,Ringo Starr
1974,32,If You Love Me (Let Me Know),Olivia Newton-John,Olivia Newton-John,Olivia Newton-John
1974,33,Dark Lady,Cher,Cher,Cher
1974,34,Best Thing That Ever Happened to Me,Gladys Knight & the Pips,Gladys Knight & the Pips,Gladys Knight
1974,35,Feel Like Makin' Love,Roberta Flack,Roberta Flack,Roberta Flack
1974,36,Just Don't Want to Be Lonely,The Main Ingredient,The Main Ingredient,The Main Ingredient
1974,37,Nothing from Nothing,Billy Preston,Billy Preston,Billy Preston
1974,38,Rock Your Baby,George McCrae,George McCrae,George McCrae
1974,39,Top of the World,The Carpenters,The Carpenters,The Carpenters
1974,40,The Joker,Steve Miller Band,Steve Miller Band,Steve Miller B
1974,41,I've Got to Use My Imagination,Gladys Knight & the Pips,Gladys Knight & the Pips,Gladys Knight
1974,42,The Show Must Go On,Three Dog Night,Three Dog Night,Three Dog Night
1974,43,Rock the Boat,The Hues Corporation,The Hues Corporation,The Hues Corporation
1974,44,Smokin' in the Boys Room,Brownsville Station,Brownsville Station,Brownsville Station
1974,45,Living for the City,Stevie Wonder,Stevie Wonder,Stevie Wonder
1974,46,Then Came You,"Dionne Warwick,The Spinners","Dionne Warwick,The Spinners",Dionne Warwick
1974,47,The Night Chicago Died,Paper Lace,Paper Lace,Paper Lace
1974,48,The Entertainer,Marvin Hamlisch,Marvin Hamlisch,Marvin Hamlisch
1974,49,Waterloo,ABBA,ABBA,ABBA
1974,50,The Air That I Breathe,The Hollies,The Hollies,The Hollies
1974,51,Rikki Don't Lose That Number,Steely Dan,Steely Dan,Steely Dan
1974,52,Mockingbird,"Carly Simon,James Taylor","Carly Simon,James Taylor",Carly Simon
1974,53,Help Me,Joni Mitchell,Joni Mitchell,Joni Mitchell
1974,54,You Won't See Me,Anne Murray,Anne Murray,Anne Murray
1974,55,"Never, Never Gonna Give You Up",Barry White,Barry White,Barry White
1974,56,Tell Me Something Good,"Rufus,Chaka Khan","Rufus,Chaka Khan",Rufus
1974,57,You and Me Against the World,Helen Reddy,Helen Reddy,Helen Reddy
1974,58,Rock and Roll Heaven,The Righteous Brothers,The Righteous Brothers,The Righteous Brothers
1974,59,Hollywood Swinging,Kool & the Gang,Kool & the Gang,Kool
1974,60,Be Thankful for What You Got,William DeVaughn,William DeVaughn,William DeVaughn
1974,61,Hang on in There Baby,Johnny Bristol,Johnny Bristol,Johnny Bristol
1974,62,Eres tú,Mocedades,Mocedades,Mocedades
1974,63,Takin' Care of Business,Bachman-Turner Overdrive,Bachman-Turner Overdrive,Bachman-Turner Overdrive
1974,64,Radar Love,Golden Earring,Golden Earring,Golden Earring
1974,65,Please Come to Boston,Dave Loggins,Dave Loggins,Dave Loggins
1974,66,Keep on Smilin',Wet Willie,Wet Willie,Wet Willie
1974,67,Lookin' for a Love,Bobby Womack,Bobby Womack,Bobby Womack
1974,68,Put Your Hands Together,The O'Jays,The O'Jays,The O'Jays
1974,69,On and On,Gladys Knight & the Pips,Gladys Knight & the Pips,Gladys Knight
1974,70,Oh Very Young,Cat Stevens,Cat Stevens,Cat Stevens
1974,71,Leave Me Alone (Ruby Red Dress),Helen Reddy,Helen Reddy,Helen Reddy
1974,72,Goodbye Yellow Brick Road,Elton John,Elton John,Elton John
1974,73,(I've Been) Searchin' So Long,Chicago,Chicago,Chicago
1974,74,Oh My My,Ringo Starr,Ringo Starr,Ringo Starr
1974,75,For the Love of Money,The O'Jays,The O'Jays,The O'Jays
1974,76,I Shot the Sheriff,Eric Clapton,Eric Clapton,Eric Clapton
1974,77,Jet,Paul McCartney and Wings,Paul McCartney and Wings,Paul McCartney
1974,78,Don't Let the Sun Go Down on Me,Elton John,Elton John,Elton John
1974,79,Tubular Bells,Mike Oldfield,Mike Oldfield,Mike Oldfield
1974,80,A Love Song,Anne Murray,Anne Murray,Anne Murray
1974,81,I'm Leaving It (All) Up to You,"Donny,Marie Osmond","Donny,Marie Osmond",Donny
1974,82,Hello It's Me,Todd Rundgren,Todd Rundgren,Todd Rundgren
1974,83,I Love,Tom T. Hall,Tom T. Hall,Tom T. Hall
1974,84,Clap for the Wolfman,"The Guess Who,Wolfman Jack","The Guess Who,Wolfman Jack",The Guess Who
1974,85,I'll Have to Say I Love You in a Song,Jim Croce,Jim Croce,Jim Croce
1974,86,The Lord's Prayer,Sister Janet Mead,Sister Janet Mead,Sister Janet Mead
1974,87,Trying to Hold on to My Woman,Lamont Dozier,Lamont Dozier,Lamont Dozier
1974,88,Don't You Worry 'bout a Thing,Stevie Wonder,Stevie Wonder,Stevie Wonder
1974,89,A Very Special Love Song,Charlie Rich,Charlie Rich,Charlie Rich
1974,90,My Girl Bill,Jim Stafford,Jim Stafford,Jim Stafford
1974,91,Helen Wheels,Paul McCartney and Wings,Paul McCartney and Wings,Paul McCartney
1974,92,My Mistake (Was to Love You),"Diana Ross,Marvin Gaye","Diana Ross,Marvin Gaye",Diana Ross
1974,93,Wildwood Weed,Jim Stafford,Jim Stafford,Jim Stafford
1974,94,Beach Baby,The First Class,The First Class,The First Class
1974,95,Me and Baby Brother,War,War,War
1974,96,Rockin' Roll Baby,The Stylistics,The Stylistics,The Stylistics
1974,97,I Honestly Love You,Olivia Newton-John,Olivia Newton-John,Olivia Newton-John
1974,98,Call on Me,Chicago,Chicago,Chicago
1974,99,Wild Thing,Fancy,Fancy,Fancy
1974,100,Mighty Love,The Spinners,The Spinners,The Spinners
1975,1,Love Will Keep Us Together,Captain & Tennille,Captain & Tennille,Captain
1975,2,Rhinestone Cowboy,Glen Campbell,Glen Campbell,Glen Campbell
1975,3,Philadelphia Freedom,Elton John,Elton John,Elton John
1975,4,Before the Next Teardrop Falls,Freddy Fender,Freddy Fender,Freddy Fender
1975,5,My Eyes Adored You,Frankie Valli,Frankie Valli,Frankie Valli
1975,6,Some Kind of Wonderful,Grand Funk Railroad,Grand Funk Railroad,Gr
1975,7,Shining Star,"Earth, Wind & Fire","Earth, Wind & Fire",Earth
1975,8,Fame,David Bowie,David Bowie,David Bowie
1975,9,Laughter in the Rain,Neil Sedaka,Neil Sedaka,Neil Sedaka
1975,10,One of These Nights,Eagles,Eagles,Eagles
1975,11,Thank God I'm a Country Boy,John Denver,John Denver,John Denver
1975,12,Jive Talkin',Bee Gees,Bee Gees,Bee Gees
1975,13,Best of My Love,Eagles,Eagles,Eagles
1975,14,Lovin' You,Minnie Riperton,Minnie Riperton,Minnie Riperton
1975,15,Kung Fu Fighting,Carl Douglas,Carl Douglas,Carl Douglas
1975,16,Black Water,The Doobie Brothers,The Doobie Brothers,The Doobie Brothers
1975,17,The Ballroom Blitz,Sweet,Sweet,Sweet
1975,18,(Hey Won't You Play) Another Somebody Done Somebody Wrong Song,B.J. Thomas,B.J. Thomas,B.J. Thomas
1975,19,He Don't Love You (Like I Love You),Tony Orlando and Dawn,Tony Orlando and Dawn,Tony Orl
1975,20,At Seventeen,Janis Ian,Janis Ian,Janis Ian
1975,21,Pick Up the Pieces,Average White Band,Average White Band,Average White B
1975,22,The Hustle,Van McCoy & the Soul City Symphony,Van McCoy & the Soul City Symphony,Van McCoy
1975,23,Lady Marmalade,Labelle,Labelle,Labelle
1975,24,Why Can't We Be Friends?,War,War,War
1975,25,Love Won't Let Me Wait,Major Harris,Major Harris,Major Harris
1975,26,Boogie On Reggae Woman,Stevie Wonder,Stevie Wonder,Stevie Wonder
1975,27,Wasted Days and Wasted Nights,Freddy Fender,Freddy Fender,Freddy Fender
1975,28,Angie Baby,Helen Reddy,Helen Reddy,Helen Reddy
1975,29,Fight the Power,The Isley Brothers,The Isley Brothers,The Isley Brothers
1975,30,Jackie Blue,Ozark Mountain Daredevils,Ozark Mountain Daredevils,Ozark Mountain Daredevils
1975,31,Fire,Ohio Players,Ohio Players,Ohio Players
1975,32,Magic,Pilot,Pilot,Pilot
1975,33,Please Mr. Postman,The Carpenters,The Carpenters,The Carpenters
1975,34,Sister Golden Hair,America,America,America
1975,35,Lucy in the Sky with Diamonds,Elton John,Elton John,Elton John
1975,36,Mandy,Barry Manilow,Barry Manilow,Barry Manilow
1975,37,Have You Never Been Mellow,Olivia Newton-John,Olivia Newton-John,Olivia Newton-John
1975,38,Could It Be Magic,Barry Manilow,Barry Manilow,Barry Manilow
1975,39,Cat's in the Cradle,Harry Chapin,Harry Chapin,Harry Chapin
1975,40,Wildfire,Michael Martin Murphey,Michael Martin Murphey,Michael Martin Murphey
1975,41,I'm Not Lisa,Jessi Colter,Jessi Colter,Jessi Colter
1975,42,Listen to What the Man Said,Wings,Wings,Wings
1975,43,I'm Not in Love,10cc,10cc,10cc
1975,44,I Can Help,Billy Swan,Billy Swan,Billy Swan
1975,45,Fallin' in Love,"Hamilton, Joe Frank & Reynolds","Hamilton, Joe Frank & Reynolds",Hamilton
1975,46,Feelings,Morris Albert,Morris Albert,Morris Albert
1975,47,When Will I Be Loved,Linda Ronstadt,Linda Ronstadt,Linda Ronstadt
1975,48,Chevy Van,Sammy Johns,Sammy Johns,Sammy Johns
1975,49,"You're the First, the Last, My Everything",Barry White,Barry White,Barry White
1975,50,Please Mr. Please,Olivia Newton-John,Olivia Newton-John,Olivia Newton-John
1975,51,You're No Good,Linda Ronstadt,Linda Ronstadt,Linda Ronstadt
1975,52,Dynomite,Bazuka,Bazuka,Bazuka
1975,53,Walking in Rhythm,The Blackbyrds,The Blackbyrds,The Blackbyrds
1975,54,The Way We Were/Try to Remember,Gladys Knight & the Pips,Gladys Knight & the Pips,Gladys Knight
1975,55,Midnight Blue,Melissa Manchester,Melissa Manchester,Melissa Manchester
1975,56,"Don't Call Us, We'll Call You",Sugarloaf,Sugarloaf,Sugarloaf
1975,57,Poetry Man,Phoebe Snow,Phoebe Snow,Phoebe Snow
1975,58,How Long?,Ace,Ace,Ace
1975,59,Express,B.T. Express,B.T. Express,B.T. E
1975,60,That's the Way of the World,"Earth, Wind & Fire","Earth, Wind & Fire",Earth
1975,61,Lady,Styx,Styx,Sty
1975,62,Bad Time,Grand Funk,Grand Funk,Gr
1975,63,Only Women Bleed,Alice Cooper,Alice Cooper,Alice Cooper
1975,64,Doctor's Orders,Carol Douglas,Carol Douglas,Carol Douglas
1975,65,Get Down Tonight,KC and the Sunshine Band,KC and the Sunshine Band,KC
1975,66,One Man Woman/One Woman Man,"Paul Anka,Odia Coates","Paul Anka,Odia Coates",Paul Anka
1975,67,You Are So Beautiful,Joe Cocker,Joe Cocker,Joe Cocker
1975,68,Feel Like Makin' Love,Bad Company,Bad Company,Bad Company
1975,69,How Sweet It Is (To Be Loved by You),James Taylor,James Taylor,James Taylor
1975,70,Dance with Me,Orleans,Orleans,Orleans
1975,71,Cut the Cake,Average White Band,Average White Band,Average White B
1975,72,Never Can Say Goodbye,Gloria Gaynor,Gloria Gaynor,Gloria Gaynor
1975,73,I Don't Like to Sleep Alone,"Paul Anka,Odia Coates","Paul Anka,Odia Coates",Paul Anka
1975,74,Morning Side of the Mountain,"Donny,Marie Osmond","Donny,Marie Osmond",Donny
1975,75,When Will I See You Again,The Three Degrees,The Three Degrees,The Three Degrees
1975,76,"Get Down, Get Down (Get on the Floor)",Joe Simon,Joe Simon,Joe Simon
1975,77,I'm Sorry,John Denver,John Denver,John Denver
1975,78,Killer Queen,Queen,Queen,Queen
1975,79,Shoeshine Boy,Eddie Kendricks,Eddie Kendricks,Eddie Kendricks
1975,80,Do It ('Til You're Satisfied),B.T. Express,B.T. Express,B.T. E
1975,81,Can't Get It Out of My Head,Electric Light Orchestra,Electric Light Orchestra,Electric Light Orchestra
1975,82,Al Green,,,
1975,83,Lonely People,America,America,America
1975,84,You Got the Love,Rufus,Rufus,Rufus
1975,85,The Rockford Files Theme,Mike Post,Mike Post,Mike Post
1975,86,It Only Takes a Minute,Tavares,Tavares,Tavares
1975,87,No No Song,Ringo Starr,Ringo Starr,Ringo Starr
1975,88,Junior's Farm,Paul McCartney & Wings,Paul McCartney & Wings,Paul McCartney
1975,89,Bungle in the Jungle,Jethro Tull,Jethro Tull,Jethro Tull
1975,90,Long Tall Glasses (I Can Dance),Leo Sayer,Leo Sayer,Leo Sayer
1975,91,Misty,Ray Stevens,Ray Stevens,Ray Stevens
1975,92,Someone Saved My Life Tonight,Elton John,Elton John,Elton John
1975,93,Bad Blood,Neil Sedaka,Neil Sedaka,Neil Sedaka
1975,94,Only Yesterday,The Carpenters,The Carpenters,The Carpenters
1975,95,I'm on Fire,Dwight Twilley Band,Dwight Twilley Band,Dwight Twilley B
1975,96,Only You (And You Alone),Ringo Starr,Ringo Starr,Ringo Starr
1975,97,Third Rate Romance,Amazing Rhythm Aces,Amazing Rhythm Aces,Amazing Rhythm Aces
1975,98,You Ain't Seen Nothing Yet,Bachman–Turner Overdrive,Bachman–Turner Overdrive,Bachman–Turner Overdrive
1975,99,Swearin' to God,Frankie Valli,Frankie Valli,Frankie Valli
1975,100,Get Dancin',Disco-Tex and the Sex-O-Lettes,Disco-Tex and the Sex-O-Lettes,Disco-Te
1976,1,Silly Love Songs,Wings,Wings,Wings
1976,2,Don't Go Breaking My Heart,"Elton John,Kiki Dee","Elton John,Kiki Dee",Elton John
1976,3,Disco Lady,Johnnie Taylor,Johnnie Taylor,Johnnie Taylor
1976,4,"December, 1963 (Oh, What a Night)",The Four Seasons,The Four Seasons,The Four Seasons
1976,5,Play That Funky Music,Wild Cherry,Wild Cherry,Wild Cherry
1976,6,Kiss and Say Goodbye,The Manhattans,The Manhattans,The Manhattans
1976,7,Love Machine,The Miracles,The Miracles,The Miracles
1976,8,50 Ways to Leave Your Lover,Paul Simon,Paul Simon,Paul Simon
1976,9,Love Is Alive,Gary Wright,Gary Wright,Gary Wright
1976,10,A Fifth of Beethoven,Walter Murphy,Walter Murphy,Walter Murphy
1976,11,Sara Smile,Daryl Hall & John Oates,Daryl Hall & John Oates,Daryl Hall
1976,12,Afternoon Delight,Starland Vocal Band,Starland Vocal Band,Starl
1976,13,I Write the Songs,Barry Manilow,Barry Manilow,Barry Manilow
1976,14,"Fly, Robin, Fly",Silver Convention,Silver Convention,Silver Convention
1976,15,Love Hangover,Diana Ross,Diana Ross,Diana Ross
1976,16,Get Closer,Seals and Crofts,Seals and Crofts,Seals
1976,17,"More, More, More",Andrea True Connection,Andrea True Connection,rea True Connection
1976,18,Bohemian Rhapsody,Queen,Queen,Queen
1976,19,Misty Blue,Dorothy Moore,Dorothy Moore,Dorothy Moore
1976,20,Boogie Fever,The Sylvers,The Sylvers,The Sylvers
1976,21,I'd Really Love to See You Tonight,England Dan & John Ford Coley,England Dan & John Ford Coley,Engl
1976,22,You Sexy Thing,Hot Chocolate,Hot Chocolate,Hot Chocolate
1976,23,Love Hurts,Nazareth,Nazareth,Nazareth
1976,24,Get Up and Boogie,Silver Convention,Silver Convention,Silver Convention
1976,25,Take It to the Limit,Eagles,Eagles,Eagles
1976,26,"(Shake, Shake, Shake) Shake Your Booty",KC and the Sunshine Band,KC and the Sunshine Band,KC
1976,27,Sweet Love,Commodores,Commodores,Commodores
1976,28,Right Back Where We Started From,Maxine Nightingale,Maxine Nightingale,Ma
1976,29,Theme fromS.W.A.T.,Rhythm Heritage,Rhythm Heritage,Rhythm Heritage
1976,30,Love Rollercoaster,Ohio Players,Ohio Players,Ohio Players
1976,31,You Should Be Dancing,Bee Gees,Bee Gees,Bee Gees
1976,32,You'll Never Find Another Love Like Mine,Lou Rawls,Lou Rawls,Lou Rawls
1976,33,Golden Years,David Bowie,David Bowie,David Bowie
1976,34,Moonlight Feels Right,Starbuck,Starbuck,Starbuck
1976,35,Only Sixteen,Dr. Hook,Dr. Hook,Dr. Hook
1976,36,Let Your Love Flow,The Bellamy Brothers,The Bellamy Brothers,The Bellamy Brothers
1976,37,Dream Weaver,Gary Wright,Gary Wright,Gary Wright
1976,38,Turn the Beat Around,Vicki Sue Robinson,Vicki Sue Robinson,Vicki Sue Robinson
1976,39,Lonely Night (Angel Face),Captain & Tennille,Captain & Tennille,Captain
1976,40,All by Myself,Eric Carmen,Eric Carmen,Eric Carmen
1976,41,Love to Love You Baby,Donna Summer,Donna Summer,Donna Summer
1976,42,Deep Purple,"Donny,Marie Osmond","Donny,Marie Osmond",Donny
1976,43,Theme fromMahogany(Do You Know Where You're Going To),Diana Ross,Diana Ross,Diana Ross
1976,44,Sweet Thing,Rufus,Rufus,Rufus
1976,45,That's the Way (I Like It),KC and the Sunshine Band,KC and the Sunshine Band,KC
1976,46,A Little Bit More,Dr. Hook,Dr. Hook,Dr. Hook
1976,47,Shannon,Henry Gross,Henry Gross,Henry Gross
1976,48,If You Leave Me Now,Chicago,Chicago,Chicago
1976,49,Lowdown,Boz Scaggs,Boz Scaggs,Boz Scaggs
1976,50,Show Me the Way,Peter Frampton,Peter Frampton,Peter Frampton
1976,51,Dream On,Aerosmith,Aerosmith,Aerosmith
1976,52,I Love Music,The O'Jays,The O'Jays,The O'Jays
1976,53,Say You Love Me,Fleetwood Mac,Fleetwood Mac,Fleetwood Mac
1976,54,Times of Your Life,Paul Anka,Paul Anka,Paul Anka
1976,55,Devil Woman,Cliff Richard,Cliff Richard,Cliff Richard
1976,56,Fooled Around and Fell in Love,Elvin Bishop,Elvin Bishop,Elvin Bishop
1976,57,Convoy,C. W. McCall,C. W. McCall,C. W. McCall
1976,58,Welcome Back,John Sebastian,John Sebastian,John Sebastian
1976,59,Sing a Song,"Earth, Wind & Fire","Earth, Wind & Fire",Earth
1976,60,Heaven Must Be Missing an Angel,Tavares,Tavares,Tavares
1976,61,I'll Be Good to You,The Brothers Johnson,The Brothers Johnson,The Brothers Johnson
1976,62,Rock and Roll Music,The Beach Boys,The Beach Boys,The Beach Boys
